Material,Material Description,     Amount
4892070,ELECTRODE CABLE FOR STIMUPLEX HNS 11/12,5600.0
7700001,Exchange of the spare parts,1000.0
7700002,Exchange drive head clip,1000.0
7700003,Exchange of the “P2” connector,1100.0
7700004,CALIBRATION,1350.0
7700005,Maintenance the front panel connectors,850.0
7700006,Maintenance the drive connectors,850.0
7700007,Repair of the A-module,850.0
7700008,Repair of the air sensor,850.0
7700009,Repair of the pressure sensor,1700.0
7700010,Repair of the drop sensor connector,850.0
7700011,Testing and repair of the syringe holder,1500.0
7700012,Testing and repair of the LED,2200.0
7700013,Testing and repair of the operating unit,1000.0
7700014,Testing and repair of the drive,2500.0
7700015,Testing and repair of the processor PCB,3400.0
7700016,Testing and repair of the drive PCB,1600.0
7700017,Testing and repair the drive bolt drive,1100.0
7700018,DIAGNOSTIC,900.0
7700019,REPAIR BATTERY CONTACTS,1000.0
7700059,INSPECTION WITH MAINTENANCE,500.0
7701357,MANOMETER 0-4 BAR,12873.0
7701489,PRESSURE GAUGE FOR INFUSOMAT FM,5745.0
7701497,SPECIAL SPANNER M18,2830.0
7701535,CALIBRATION GAUGE,45866.0
7701543,POTENTIOMETER TEMPLATE 20ML,3435.0
7701551,POTENTIOMETER TEMPLATE 50ML,3371.0
7701608,DISTANCE GAUGE,33709.0
7701616,CURRENT STEP TEMPLATE,54322.0
7701624,POTENTIOMETER ALIGNMENT 50ML,3364.0
7701675,ADJUSTING GAUGE FOR TOOTHED BELT TENSION,6851.0
7703368,SYRINGE GAUGE,46317.0
7703376,ZERO POINT POTENTIOMETER CALIBRATION,17091.0
7705034,"CALIBRATION TEMPLATE 2.2 MM, INFUSOMAT P",8689.0
7705042,FOUR-WAY GAUGE,12007.0
7705166,DIAMETER GAUGE PSP,7380.0
7705174,POWER SUPPLY TEST ADAPTOR SP,4695.0
7705190,LENGTH GAUGE PSP,3258.0
7705204,SYRINGE GAUGE PSP,50539.0
8700150,UNIVERSAL CLAMP NAW,12251.0
8711661,INTERFACE CABLE F. PC,11288.0
8711674,"12V EXTERNAL POWER CORD,PERFUSOR COMPACT",8062.0
8713130,POLE CLAMP SP,14361.0
8713160,SPACECOM SUPPLEMENTARY PART,136538.0
8713180,BATTERY-PACK SP (NIMH),10375.0
8713184,SPACECOM OPTION W-LAN,8810.0
8714991,PERFUSOR COMPACT BATTERY PACK,3250.0
8716102,PCA MODULE (ENGLISH),42017.0
8710360,MAINS ADAPTER ENTEROMAT 230 V,10300.0
34500979,FUSE HOLDER,495.0
34501215,PFM SERVICE PLUG,3618.0
34501690,RECHARGEABLE BATTERY PACK PERF.COMPACT,4400.0
34501703,ZERO POINT TEMPLATE,11203.0
34501711,FIXATIONS LEVER OF THE DRIVE,441.0
34501720,DRIVE BUTTON COMPLET,1671.0
34501738,FINGER PUMP,17234.0
34501754,REED SENSOR,713.0
34501789,HANDLE WITH O RING & SCREW,770.0
